10	19/2	9	9	150200200
10	19/2	9	10	150205800
11	1/2	0	0	0
11	1/2	0	1	1067200
11	1/2	1	0	-5879200
11	1/2	1	1	-5523500
11	3/2	1	1	60228000
11	3/2	1	2	60370200
11	3/2	2	1	60150800
11	3/2	2	2	60236200
11	5/2	2	2	82148200
11	5/2	2	3	82203100
11	5/2	3	2	82117500
11	5/2	3	3	82156700
11	7/2	3	3	93112000
11	7/2	3	4	93141100
11	7/2	4	3	93094900
11	7/2	4	4	93117400
11	9/2	4	4	99690500
11	9/2	4	5	99708400
11	9/2	5	4	99679400
11	9/2	5	5	99694100
11	11/2	5	5	104076000
11	11/2	5	6	104088200
11	11/2	6	5	104068300
11	11/2	6	6	104078600
11	13/2	6	6	107208500
11	13/2	6	7	107217400
11	13/2	7	6	107202800
11	13/2	7	7	107210500
11	15/2	7	7	109557900
11	15/2	7	8	109564600
11	15/2	8	7	109553500
11	15/2	8	8	109559400
11	17/2	8	8	111385200
11	17/2	8	9	111390400
11	17/2	9	8	111381600
11	17/2	9	9	111386300
11	19/2	9	9	112846900
11	19/2	9	10	112851200
11	19/2	10	9	112844100
11	19/2	10	10	112847900
11	21/2	10	10	114042900
11	21/2	10	11	114046400
12	1/2	0	0	0
12	1/2	0	1	822000
12	1/2	1	0	-4528700
12	1/2	1	1	-4254800
12	3/2	1	1	46390600
12	3/2	1	2	46500100
12	3/2	2	1	46331100
12	3/2	2	2	46396800
12	5/2	2	2	63274700
12	5/2	2	3	63316900
12	5/2	3	2	63251000
12	5/2	3	3	63281200
12	7/2	3	3	71719600
12	7/2	3	4	71741900
12	7/2	4	3	71706400
12	7/2	4	4	71723700
12	9/2	4	4	76786600
12	9/2	4	5	76800500
12	9/2	5	4	76778100
12	9/2	5	5	76789400
12	11/2	5	5	80164600
12	11/2	5	6	80174000
12	11/2	6	5	80158700
12	11/2	6	6	80166600
12	13/2	6	6	82577500
12	13/2	6	7	82584300
12	13/2	7	6	82573000
12	13/2	7	7	82578900
12	15/2	7	7	84387100
12	15/2	7	8	84392200
12	15/2	8	7	84383700
12	15/2	8	8	84388200
12	17/2	8	8	85794500
12	17/2	8	9	85798600
12	17/2	9	8	85791800
12	17/2	9	9	85795400
12	19/2	9	9	86920500
12	19/2	9	10	86923700
12	19/2	10	9	86918300
12	19/2	10	10	86921200
12	21/2	10	10	87841700
12	21/2	10	11	87844400
12	21/2	11	10	87839900
12	21/2	11	11	87842300
12	23/2	11	11	88609400
12	23/2	11	12	88611600
13	1/2	0	0	0
13	1/2	0	1	646500
13	1/2	1	0	-3562100
13	1/2	1	1	-3346700
13	3/2	1	1	36487300
13	3/2	1	2	36573400
13	3/2	2	1	36440400
13	3/2	2	2	36492100
13	5/2	2	2	49767000
13	5/2	2	3	49800300
13	5/2	3	2	49748400
13	5/2	3	3	49772100
13	7/2	3	3	56409200
13	7/2	3	4	56426700
13	7/2	4	3	56398800
13	7/2	4	4	56412400
13	9/2	4	4	60394500
13	9/2	4	5	60405400
13	9/2	5	4	60387800
13	9/2	5	5	60396700
13	11/2	5	5	63051400
13	11/2	5	6	63058800
13	11/2	6	5	63046700
13	11/2	6	6	63053000
13	13/2	6	6	64949200
13	13/2	6	7	64954500
13	13/2	7	6	64945700
13	13/2	7	7	64950300
13	15/2	7	7	66372500
13	15/2	7	8	66376500
13	15/2	8	7	66369800
13	15/2	8	8	66373300
13	17/2	8	8	67479500
13	17/2	8	9	67482600
13	17/2	9	8	67477300
13	17/2	9	9	67480200
13	19/2	9	9	68365000
13	19/2	9	10	68367600
13	19/2	10	9	68363300
13	19/2	10	10	68365600
13	21/2	10	10	69089600
13	21/2	10	11	69091700
13	21/2	11	10	69088200
13	21/2	11	11	69090100
13	23/2	11	11	69693400
13	23/2	11	12	69695200
13	23/2	12	11	69692200
13	23/2	12	12	69693800
13	25/2	12	12	70204300
13	25/2	12	13	70205800
14	1/2	0	0	0
14	1/2	0	1	517700
14	1/2	1	0	-2852200
14	1/2	1	1	-2679700
14	3/2	1	1	29213600
14	3/2	1	2	29282600
14	3/2	2	1	29176100
14	3/2	2	2	29217500
14	5/2	2	2	39846100
14	5/2	2	3	39872700
14	5/2	3	2	39831200
14	5/2	3	3	39850200
14	7/2	3	3	45164200
14	7/2	3	4	45178300
14	7/2	4	3	45155800
14	7/2	4	4	45166800
14	9/2	4	4	48355100
14	9/2	4	5	48363800
14	9/2	5	4	48349700
14	9/2	5	5	48356800
14	11/2	5	5	50482300
14	11/2	5	6	50488300
14	11/2	6	5	50478600
14	11/2	6	6	50483600
14	13/2	6	6	52001800
14	13/2	6	7	52006100
14	13/2	7	6	51999000
14	13/2	7	7	52002700
14	15/2	7	7	53141300
14	15/2	7	8	53144600
14	15/2	8	7	53139200
14	15/2	8	8	53142100
14	17/2	8	8	54027700
14	17/2	8	9	54030200
14	17/2	9	8	54026000
14	17/2	9	9	54028200
14	19/2	9	9	54736700
14	19/2	9	10	54738800
14	19/2	10	9	54735300
14	19/2	10	10	54737200
14	21/2	10	10	55316800
14	21/2	10	11	55318500
14	21/2	11	10	55315700
14	21/2	11	11	55317200
14	23/2	11	11	55800300
14	23/2	11	12	55801700
14	23/2	12	11	55799300
14	23/2	12	12	55800600
14	25/2	12	12	56209300
14	25/2	12	13	56210500
14	25/2	13	12	56208500
14	25/2	13	13	56209600
14	27/2	13	13	56560000
14	27/2	13	14	56561000
15	1/2	0	0	0
15	1/2	0	1	420900
15	1/2	1	0	-2319000
15	1/2	1	1	-2178700
15	3/2	1	1	23751700
15	3/2	1	2	23807800
15	3/2	2	1	23721200
15	3/2	2	2	23754800
15	5/2	2	2	32396300
